SensorID,time,latitude,longitude,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,temperature,humidity,pm25,datetime_series,PerTime,Perhour,Permonth,Perday,geohash,geometry,count
NYCP2_CS01A,1631277398,40.85,-73.9,39,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,57.4,5.576236048,2021-09-10 12:36:38,12:36:38,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277403,40.85,-73.9,43,6,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,57.6,6.25447477,2021-09-10 12:36:43,12:36:43,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277408,40.85,-73.9,44,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,57.7,5.071982704,2021-09-10 12:36:48,12:36:48,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277413,40.85,-73.9,43,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,57.8,5.728681074,2021-09-10 12:36:53,12:36:53,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277418,40.85,-73.9,46,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,58.1,5.515783212,2021-09-10 12:36:58,12:36:58,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277423,40.85,-73.9,55,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,58.4,5.071563189,2021-09-10 12:37:03,12:37:03,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277428,40.85,-73.9,44,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,58.5,5.368103424,2021-09-10 12:37:08,12:37:08,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277433,40.85,-73.9,35,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,58.2,5.368103424,2021-09-10 12:37:13,12:37:13,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277438,40.85,-73.9,38,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,58.1,4.659285115,2021-09-10 12:37:18,12:37:18,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277443,40.85,-73.9,45,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,58.4,5.582580484,2021-09-10 12:37:23,12:37:23,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277448,40.85,-73.9,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,58.5,4.43630484,2021-09-10 12:37:28,12:37:28,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277453,40.85,-73.9,32,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,58.4,5.582580484,2021-09-10 12:37:33,12:37:33,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277458,40.85,-73.9,50,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,58.4,5.576236048,2021-09-10 12:37:38,12:37:38,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277463,40.85,-73.9,47,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,58.7,5.368103424,2021-09-10 12:37:43,12:37:43,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277468,40.85,-73.9,38,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,58.8,4.659285115,2021-09-10 12:37:48,12:37:48,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277473,40.85,-73.9,47,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,58.7,4.43630484,2021-09-10 12:37:53,12:37:53,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277478,40.85,-73.9,35,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,58.6,6.214618116,2021-09-10 12:37:58,12:37:58,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277483,40.85,-73.9,33,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,58.1,5.296584266,2021-09-10 12:38:03,12:38:03,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277488,40.85,-73.9,38,5,4,1,0,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,58.1,5.848328966,2021-09-10 12:38:08,12:38:08,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277493,40.85,-73.9,45,6,1,0,7,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,58.0,5.916554875,2021-09-10 12:38:13,12:38:13,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277498,40.85,-73.9,46,3,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,58.0,5.296584266,2021-09-10 12:38:18,12:38:18,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277503,40.85,-73.9,37,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,58.2,5.368103424,2021-09-10 12:38:23,12:38:23,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277508,40.85,-73.9,42,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,58.3,5.17709931,2021-09-10 12:38:28,12:38:28,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277513,40.85,-73.9,34,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23.1,58.5,4.43630484,2021-09-10 12:38:33,12:38:33,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277518,40.85,-73.9,36,7,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,58.6,6.620316489,2021-09-10 12:38:38,12:38:38,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277523,40.85,-73.9,32,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,58.6,5.314127482,2021-09-10 12:38:43,12:38:43,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277528,40.85,-73.9,38,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,58.7,5.314127482,2021-09-10 12:38:48,12:38:48,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277533,40.85,-73.9,31,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,58.8,4.574993975,2021-09-10 12:38:53,12:38:53,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277538,40.85,-73.9,36,3,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23.0,59.2,5.25362385,2021-09-10 12:38:58,12:38:58,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277543,40.85,-73.9,44,4,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,59.4,6.620316489,2021-09-10 12:39:03,12:39:03,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277548,40.85,-73.9,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,59.6,4.43630484,2021-09-10 12:39:08,12:39:08,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
